,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
665,0 days 01:40:06.032000,OCO,31,0 days 00:01:23.117000,29.0,3.0,,,0 days 00:00:29.026000,0 days 00:00:18.200000,0 days 00:00:35.891000,0 days 01:39:11.903000,0 days 01:39:30.103000,0 days 01:40:05.994000,273.0,301.0,289.0,,False,HARD,13.0,True,Alpine,0 days 01:38:42.915000,2024-03-24 04:43:26.113,1,17.0,False,,False,True
666,0 days 01:41:29.072000,OCO,31,0 days 00:01:23.040000,30.0,3.0,,,0 days 00:00:28.846000,0 days 00:00:18.294000,0 days 00:00:35.900000,0 days 01:40:34.840000,0 days 01:40:53.134000,0 days 01:41:29.034000,274.0,298.0,290.0,292.0,False,HARD,14.0,True,Alpine,0 days 01:40:06.032000,2024-03-24 04:44:49.230,1,16.0,False,,False,True
667,0 days 01:42:51.993000,OCO,31,0 days 00:01:22.921000,31.0,3.0,,,0 days 00:00:28.916000,0 days 00:00:18.218000,0 days 00:00:35.787000,0 days 01:41:57.950000,0 days 01:42:16.168000,0 days 01:42:51.955000,,300.0,289.0,293.0,False,HARD,15.0,True,Alpine,0 days 01:41:29.072000,2024-03-24 04:46:12.270,1,16.0,False,,False,True
668,0 days 01:44:14.902000,OCO,31,0 days 00:01:22.909000,32.0,3.0,,,0 days 00:00:28.954000,0 days 00:00:18.200000,0 days 00:00:35.755000,0 days 01:43:20.909000,0 days 01:43:39.109000,0 days 01:44:14.864000,273.0,299.0,290.0,292.0,False,HARD,16.0,True,Alpine,0 days 01:42:51.993000,2024-03-24 04:47:35.191,1,16.0,False,,False,True
669,0 days 01:45:37.898000,OCO,31,0 days 00:01:22.996000,33.0,3.0,,,0 days 00:00:28.880000,0 days 00:00:18.210000,0 days 00:00:35.906000,0 days 01:44:43.744000,0 days 01:45:01.954000,0 days 01:45:37.860000,274.0,301.0,289.0,294.0,False,HARD,17.0,True,Alpine,0 days 01:44:14.902000,2024-03-24 04:48:58.100,1,16.0,False,,False,True
670,0 days 01:47:03.381000,OCO,31,0 days 00:01:25.483000,34.0,3.0,,,0 days 00:00:29.603000,0 days 00:00:18.022000,0 days 00:00:37.858000,0 days 01:46:07.463000,0 days 01:46:25.485000,0 days 01:47:03.343000,272.0,328.0,301.0,,False,HARD,18.0,True,Alpine,0 days 01:45:37.898000,2024-03-24 04:50:21.096,1,16.0,False,,False,True
671,0 days 01:48:26.620000,OCO,31,0 days 00:01:23.239000,35.0,3.0,,,0 days 00:00:29.090000,0 days 00:00:17.942000,0 days 00:00:36.207000,0 days 01:47:32.433000,0 days 01:47:50.375000,0 days 01:48:26.582000,270.0,317.0,301.0,305.0,False,HARD,19.0,True,Alpine,0 days 01:47:03.381000,2024-03-24 04:51:46.579,1,15.0,False,,False,True
672,0 days 01:49:51.560000,OCO,31,0 days 00:01:24.940000,36.0,3.0,,,0 days 00:00:29.138000,0 days 00:00:17.984000,0 days 00:00:37.818000,0 days 01:48:55.720000,0 days 01:49:13.704000,0 days 01:49:51.522000,271.0,318.0,300.0,306.0,False,HARD,20.0,True,Alpine,0 days 01:48:26.620000,2024-03-24 04:53:09.818,1,14.0,False,,False,True
673,0 days 01:51:14.394000,OCO,31,0 days 00:01:22.834000,37.0,3.0,,,0 days 00:00:28.899000,0 days 00:00:18.227000,0 days 00:00:35.708000,0 days 01:50:20.421000,0 days 01:50:38.648000,0 days 01:51:14.356000,276.0,302.0,290.0,303.0,False,HARD,21.0,True,Alpine,0 days 01:49:51.560000,2024-03-24 04:54:34.758,1,14.0,False,,False,True
674,0 days 01:52:38.021000,OCO,31,0 days 00:01:23.627000,38.0,3.0,,,0 days 00:00:28.734000,0 days 00:00:18.147000,0 days 00:00:36.746000,0 days 01:51:43.090000,0 days 01:52:01.237000,0 days 01:52:37.983000,275.0,301.0,301.0,292.0,False,HARD,22.0,True,Alpine,0 days 01:51:14.394000,2024-03-24 04:55:57.592,1,15.0,False,,False,True
